feature,importance
ret_1,30249
ret_5,25239
bollinger_band_width,23835
adx_14,22493
slope_10,22100
stoch_oscillator,21444
slope_20,20822
dist_ema10,20087
macd_diff,19587
volume_ratio,18944
bb_pct,18789
atr_14,18177
rsi_14,16999
volume,15365
macd,14848
dist_ema50,14133
ema_cross_diff,13711
volume_sma_10,12853
ema_10,9744
sma_50,6156
ema_20,5441
ema_50,5381
logret_1,0
roc_5,0
