feature,importance
dist_ema10,463
atr_14,438
volume,435
close_open_pct,394
volume_ratio,386
slope_20,377
ema_cross_diff,356
ret_1,355
slope_10,345
range,336
volume_sma_10,329
range_sma_5,323
range_std_10,315
low,302
sma_50,270
dist_ema50,258
high,249
range_pct,247
range_sma_10,246
close,166
ema_10,134
hl_pct,124
ema_50,121
ema_20,117
open,68
logret_1,28
rsi_14,0
adx_14,0
macd_diff,0
bollinger_band_width,0
bb_pct,0
stoch_oscillator,0
