feature,importance
ret_2,1369
close_open_pct,1244
range,1190
ret_3,1151
range_sma_5,1109
ret_5,1087
slope10_distema10,1034
ret_1,1012
vol_5,988
bollinger_band_width,979
atr_14,973
range_std_10,966
vol_10,923
vol_20,892
macd_diff,885
dist_ema50,874
slope_10,866
slope_20,851
ema_cross_diff,818
range_pct,806
