config,accuracy,recall_down,recall_up,precision_down,precision_up
baseline,0.5168895144264603,0.6064388961892248,0.41363636363636364,0.5439010017678255,0.47685589519650656
up_weighted,0.5105559465165377,0.573587385019711,0.43787878787878787,0.5405572755417957,0.4710676446617767
up_more_weighted,0.5182969739619986,0.5722733245729303,0.45606060606060606,0.5481434864694776,0.48044692737430167
