feature,importance
slope_10,21
volume_ratio,15
dist_ema10,14
ema_cross_diff,14
ret_1,12
range_std_10,11
range,11
range_pct,11
close_open_pct,8
slope_20,8
ema_20,8
sma_50,8
atr_14,8
dist_ema50,8
ema_10,7
range_sma_10,7
range_sma_5,6
volume_sma_10,5
hl_pct,5
ema_50,2
logret_1,0
