config,accuracy,f1
baseline,0.5423728813559322,0.5423728813559322
deep_trees,0.5423728813559322,0.5423728813559322
weighted_classes,0.5423728813559322,0.5423728813559322
slow_lr,0.4745762711864407,0.4745762711864407
wide_trees,0.4745762711864407,0.4745762711864407
