feature,importance
slope_10,28
atr_14,26
ema_cross_diff,23
dist_ema10,23
range,22
slope_20,21
close_open_pct,21
range_std_10,20
range_pct,19
volume_ratio,19
ret_1,18
dist_ema50,16
sma_50,16
range_sma_10,14
hl_pct,12
ema_50,11
range_sma_5,10
volume_sma_10,10
ema_20,8
ema_10,8
logret_1,0
