feature,importance
dist_ema10,2936
slope_10,2825
slope_20,2657
range_std_10,2636
range_sma_5,2632
ret_1,2596
range,2556
close_open_pct,2537
volume_ratio,2373
atr_14,2195
volume,2160
ema_cross_diff,2077
range_pct,2077
range_sma_10,1973
dist_ema50,1966
volume_sma_10,1658
low,1187
hl_pct,995
high,963
close,943
sma_50,913
ema_10,508
open,503
ema_50,494
ema_20,464
logret_1,176
rsi_14,0
adx_14,0
macd_diff,0
bollinger_band_width,0
bb_pct,0
stoch_oscillator,0
