feature,importance
close,4447
open,3274
dist_ema10,2461
close_open_pct,2442
slope_10,2403
range,2353
ret_1,2350
range_std_10,2268
range_sma_5,2221
volume_ratio,2137
slope_20,2118
atr_14,2026
ema_cross_diff,1802
range_pct,1799
volume,1632
dist_ema50,1608
range_sma_10,1534
volume_sma_10,1360
ema_10,856
hl_pct,756
low,731
sma_50,717
ema_20,559
ema_50,515
high,436
logret_1,195
rsi_14,0
adx_14,0
macd_diff,0
bollinger_band_width,0
bb_pct,0
stoch_oscillator,0
