"Index Name","Date","Open","High","Low","Close"
"NIFTY 50","31 Dec 2002","1091.85","1100.10","1091.70","1093.50"
"NIFTY 50","30 Dec 2002","1095.80","1095.80","1084.35","1091.95"
"NIFTY 50","27 Dec 2002","1095.65","1103.95","1095.60","1098.40"
"NIFTY 50","26 Dec 2002","1085.05","1100.40","1085.05","1094.80"
"NIFTY 50","24 Dec 2002","1075.95","1087.00","1072.65","1085.00"
"NIFTY 50","23 Dec 2002","1079.30","1082.60","1073.35","1076.00"
"NIFTY 50","20 Dec 2002","1075.45","1084.95","1075.40","1079.30"
"NIFTY 50","19 Dec 2002","1077.85","1079.90","1070.50","1076.00"
"NIFTY 50","18 Dec 2002","1073.20","1083.65","1072.85","1077.95"
"NIFTY 50","17 Dec 2002","1078.70","1084.95","1069.00","1073.25"
"NIFTY 50","16 Dec 2002","1089.00","1100.00","1075.55","1078.45"
"NIFTY 50","13 Dec 2002","1074.45","1087.35","1074.45","1086.20"
"NIFTY 50","12 Dec 2002","1069.95","1078.85","1066.80","1077.00"
"NIFTY 50","11 Dec 2002","1064.10","1076.95","1062.30","1069.75"
"NIFTY 50","10 Dec 2002","1058.35","1066.10","1045.65","1063.70"
"NIFTY 50","09 Dec 2002","1070.50","1085.75","1054.95","1058.65"
"NIFTY 50","06 Dec 2002","1047.55","1072.25","1047.55","1069.80"
"NIFTY 50","05 Dec 2002","1036.75","1052.45","1036.75","1045.95"
"NIFTY 50","04 Dec 2002","1055.75","1055.75","1034.10","1036.40"
"NIFTY 50","03 Dec 2002","1067.70","1075.75","1051.80","1055.00"
"NIFTY 50","02 Dec 2002","1050.15","1070.15","1050.15","1067.90"
"NIFTY 50","29 Nov 2002","1049.55","1057.45","1040.95","1050.15"
"NIFTY 50","28 Nov 2002","1031.25","1051.75","1031.25","1049.70"
"NIFTY 50","27 Nov 2002","1036.35","1042.20","1027.70","1031.10"
"NIFTY 50","26 Nov 2002","1026.40","1040.45","1026.00","1036.15"
"NIFTY 50","25 Nov 2002","1020.90","1030.35","1017.50","1026.20"
"NIFTY 50","22 Nov 2002","1009.50","1026.00","1009.50","1020.15"
"NIFTY 50","21 Nov 2002","1001.80","1012.75","1001.80","1008.75"
"NIFTY 50","20 Nov 2002","996.85","1007.20","992.30","1001.60"
"NIFTY 50","18 Nov 2002","990.35","1000.30","989.05","996.85"
"NIFTY 50","15 Nov 2002","972.30","992.05","972.30","990.35"
"NIFTY 50","14 Nov 2002","964.15","974.10","963.50","971.90"
"NIFTY 50","13 Nov 2002","960.35","965.75","956.90","962.65"
"NIFTY 50","12 Nov 2002","953.90","960.85","948.05","959.85"
"NIFTY 50","11 Nov 2002","957.55","958.55","952.10","954.05"
"NIFTY 50","08 Nov 2002","960.50","960.95","954.35","956.95"
"NIFTY 50","07 Nov 2002","962.35","970.20","957.95","960.70"
"NIFTY 50","05 Nov 2002","962.85","963.70","957.20","962.30"
"NIFTY 50","04 Nov 2002","951.60","965.50","951.60","962.10"
"NIFTY 50","01 Nov 2002","951.45","956.95","946.40","951.45"
"NIFTY 50","31 Oct 2002","937.35","953.30","937.05","951.40"
"NIFTY 50","30 Oct 2002","936.15","944.35","935.90","937.75"
"NIFTY 50","29 Oct 2002","922.55","939.70","921.65","936.90"
"NIFTY 50","28 Oct 2002","932.35","934.90","920.10","922.70"
"NIFTY 50","25 Oct 2002","946.80","946.80","929.25","932.20"
"NIFTY 50","24 Oct 2002","957.70","959.80","945.00","946.90"
"NIFTY 50","23 Oct 2002","962.90","963.75","955.45","957.35"
"NIFTY 50","22 Oct 2002","967.50","976.35","961.65","962.50"
"NIFTY 50","21 Oct 2002","971.75","976.20","965.65","967.35"
"NIFTY 50","18 Oct 2002","973.80","982.50","968.80","971.65"
"NIFTY 50","17 Oct 2002","973.70","976.05","966.55","973.30"
"NIFTY 50","16 Oct 2002","972.90","983.60","971.70","973.60"
"NIFTY 50","14 Oct 2002","971.50","976.50","969.00","972.45"
"NIFTY 50","11 Oct 2002","958.45","973.50","958.45","971.05"
