"Index Name","Date","Open","High","Low","Close"
"NIFTY 50","31 Dec 2004","2059.85","2083.00","2059.85","2080.50"
"NIFTY 50","30 Dec 2004","2070.55","2088.45","2052.25","2059.80"
"NIFTY 50","29 Dec 2004","2071.55","2086.15","2062.35","2069.60"
"NIFTY 50","28 Dec 2004","2063.60","2074.60","2060.05","2071.35"
"NIFTY 50","27 Dec 2004","2061.60","2079.05","2046.25","2062.60"
"NIFTY 50","24 Dec 2004","2045.35","2065.60","2045.30","2062.70"
"NIFTY 50","23 Dec 2004","2035.60","2049.30","2031.90","2045.15"
"NIFTY 50","22 Dec 2004","2040.60","2053.90","2029.85","2035.35"
"NIFTY 50","21 Dec 2004","2027.80","2047.50","2025.25","2044.65"
"NIFTY 50","20 Dec 2004","2012.50","2029.50","2007.15","2026.85"
"NIFTY 50","17 Dec 2004","2032.85","2037.70","2007.20","2012.10"
"NIFTY 50","16 Dec 2004","2028.80","2039.20","2019.50","2033.20"
"NIFTY 50","15 Dec 2004","2006.80","2034.35","2006.80","2028.70"
"NIFTY 50","14 Dec 2004","1985.20","2008.80","1972.85","2006.80"
"NIFTY 50","13 Dec 2004","1970.60","1987.00","1964.80","1985.35"
"NIFTY 50","10 Dec 2004","1990.20","1999.70","1964.65","1969.00"
"NIFTY 50","09 Dec 2004","1977.80","1995.70","1964.50","1989.95"
"NIFTY 50","08 Dec 2004","1994.15","2009.70","1973.15","1977.95"
"NIFTY 50","07 Dec 2004","1990.60","2002.60","1981.15","1992.70"
"NIFTY 50","06 Dec 2004","1996.30","2012.25","1989.95","1993.15"
"NIFTY 50","03 Dec 2004","1991.90","2011.90","1990.30","1996.20"
"NIFTY 50","02 Dec 2004","1962.75","2001.55","1962.75","1999.00"
"NIFTY 50","01 Dec 2004","1960.75","1971.60","1944.50","1962.05"
"NIFTY 50","30 Nov 2004","1940.25","1963.80","1940.25","1958.80"
"NIFTY 50","29 Nov 2004","1899.30","1942.95","1894.60","1939.65"
"NIFTY 50","25 Nov 2004","1904.25","1915.80","1892.60","1901.05"
"NIFTY 50","24 Nov 2004","1893.15","1907.35","1889.85","1904.05"
"NIFTY 50","23 Nov 2004","1873.35","1900.05","1873.35","1892.60"
"NIFTY 50","22 Nov 2004","1872.55","1878.05","1845.10","1873.35"
"NIFTY 50","19 Nov 2004","1891.95","1898.15","1869.35","1872.35"
"NIFTY 50","18 Nov 2004","1890.45","1895.30","1880.80","1892.05"
"NIFTY 50","17 Nov 2004","1879.05","1892.15","1874.35","1888.65"
"NIFTY 50","16 Nov 2004","1872.80","1881.40","1862.80","1879.00"
"NIFTY 50","12 Nov 2004","1871.90","1885.05","1866.75","1872.95"
"NIFTY 50","11 Nov 2004","1876.45","1884.65","1866.95","1870.55"
"NIFTY 50","10 Nov 2004","1859.65","1878.20","1857.70","1876.10"
"NIFTY 50","09 Nov 2004","1863.55","1869.45","1853.45","1858.75"
