"Index Name","Date","Open","High","Low","Close"
"NIFTY 50","29 Dec 2006","3971.65","3991.60","3960.45","3966.40"
"NIFTY 50","28 Dec 2006","3974.20","3997.35","3961.95","3970.55"
"NIFTY 50","27 Dec 2006","3942.75","3986.75","3937.70","3974.25"
"NIFTY 50","26 Dec 2006","3871.30","3946.10","3870.45","3940.50"
"NIFTY 50","22 Dec 2006","3834.90","3880.15","3823.40","3871.15"
"NIFTY 50","21 Dec 2006","3814.75","3851.20","3768.80","3833.50"
"NIFTY 50","20 Dec 2006","3832.15","3886.10","3787.55","3815.55"
"NIFTY 50","19 Dec 2006","3928.85","3931.90","3783.45","3832.00"
"NIFTY 50","18 Dec 2006","3888.20","3934.00","3828.15","3928.75"
"NIFTY 50","15 Dec 2006","3849.60","3908.45","3845.45","3888.65"
"NIFTY 50","14 Dec 2006","3765.70","3855.05","3763.50","3843.05"
"NIFTY 50","13 Dec 2006","3716.75","3777.60","3657.65","3765.20"
"NIFTY 50","12 Dec 2006","3849.10","3861.25","3661.60","3716.90"
"NIFTY 50","11 Dec 2006","3961.90","3965.05","3798.30","3849.50"
"NIFTY 50","08 Dec 2006","4015.75","4046.85","3948.70","3962.00"
"NIFTY 50","07 Dec 2006","4015.00","4027.70","4001.40","4015.35"
"NIFTY 50","06 Dec 2006","4016.00","4036.20","3982.50","4015.95"
"NIFTY 50","05 Dec 2006","4001.25","4033.20","4001.25","4015.75"
"NIFTY 50","04 Dec 2006","4002.40","4015.25","3991.55","4001.00"
"NIFTY 50","01 Dec 2006","3955.70","4001.30","3953.95","3997.60"
"NIFTY 50","30 Nov 2006","3929.40","3973.00","3929.40","3954.50"
"NIFTY 50","29 Nov 2006","3922.50","3952.40","3920.00","3928.20"
"NIFTY 50","28 Nov 2006","3966.00","3966.00","3911.55","3921.75"
"NIFTY 50","27 Nov 2006","3974.95","3974.95","3948.85","3968.90"
"NIFTY 50","24 Nov 2006","3945.45","3965.80","3935.30","3950.85"
"NIFTY 50","23 Nov 2006","3955.30","3976.80","3933.70","3945.45"
"NIFTY 50","22 Nov 2006","3918.30","3960.00","3909.60","3954.75"
"NIFTY 50","21 Nov 2006","3859.50","3921.70","3856.75","3918.25"
"NIFTY 50","20 Nov 2006","3852.65","3866.95","3794.30","3856.15"
"NIFTY 50","17 Nov 2006","3877.00","3891.85","3835.70","3852.80"
"NIFTY 50","16 Nov 2006","3876.40","3900.40","3863.85","3876.85"
"NIFTY 50","15 Nov 2006","3865.95","3888.80","3838.25","3876.30"
"NIFTY 50","14 Nov 2006","3862.00","3883.00","3850.75","3865.90"
"NIFTY 50","13 Nov 2006","3834.80","3862.05","3834.00","3858.75"
"NIFTY 50","10 Nov 2006","3796.05","3842.40","3785.40","3834.75"
"NIFTY 50","09 Nov 2006","3777.80","3808.20","3769.80","3796.40"
"NIFTY 50","08 Nov 2006","3799.20","3809.95","3737.20","3777.30"
"NIFTY 50","07 Nov 2006","3812.15","3840.45","3789.40","3798.75"
"NIFTY 50","06 Nov 2006","3804.75","3822.40","3798.25","3809.25"
"NIFTY 50","03 Nov 2006","3793.05","3809.65","3771.00","3805.35"
"NIFTY 50","02 Nov 2006","3769.40","3805.50","3761.90","3791.20"
"NIFTY 50","01 Nov 2006","3744.10","3777.70","3737.00","3767.05"
"NIFTY 50","31 Oct 2006","3770.50","3782.85","3726.75","3744.10"
"NIFTY 50","30 Oct 2006","3739.35","3776.05","3719.45","3769.10"
"NIFTY 50","27 Oct 2006","3676.85","3747.35","3674.80","3739.35"
"NIFTY 50","26 Oct 2006","3656.20","3686.85","3651.20","3677.55"
"NIFTY 50","23 Oct 2006","3683.40","3690.85","3651.20","3657.30"
"NIFTY 50","21 Oct 2006","3680.85","3708.40","3662.85","3683.50"
"NIFTY 50","20 Oct 2006","3678.75","3714.25","3665.50","3676.85"
"NIFTY 50","19 Oct 2006","3711.10","3726.95","3655.05","3677.80"
"NIFTY 50","18 Oct 2006","3715.20","3727.00","3701.30","3710.65"
"NIFTY 50","17 Oct 2006","3726.40","3742.50","3691.35","3715.00"
"NIFTY 50","16 Oct 2006","3668.90","3729.70","3668.90","3723.95"
"NIFTY 50","13 Oct 2006","3621.65","3682.35","3621.65","3676.05"
"NIFTY 50","12 Oct 2006","3562.55","3626.80","3545.95","3621.05"
"NIFTY 50","11 Oct 2006","3581.55","3614.50","3544.25","3558.55"
"NIFTY 50","10 Oct 2006","3567.45","3597.20","3563.10","3571.05"
"NIFTY 50","09 Oct 2006","3570.05","3585.35","3540.45","3567.15"
"NIFTY 50","06 Oct 2006","3565.45","3583.75","3560.90","3569.70"
