"Index Name","Date","Open","High","Low","Close"
"NIFTY 50","31 Dec 2007","6095.00","6167.75","6095.00","6138.60"
"NIFTY 50","28 Dec 2007","6079.55","6098.60","6021.90","6079.70"
"NIFTY 50","27 Dec 2007","6069.00","6110.85","6060.20","6081.50"
"NIFTY 50","26 Dec 2007","5988.45","6085.25","5988.45","6070.75"
"NIFTY 50","24 Dec 2007","5771.30","6001.05","5771.30","5985.10"
"NIFTY 50","20 Dec 2007","5751.75","5799.50","5742.75","5766.50"
"NIFTY 50","19 Dec 2007","5730.25","5840.80","5676.70","5751.15"
"NIFTY 50","18 Dec 2007","5777.60","5874.60","5710.60","5742.30"
"NIFTY 50","17 Dec 2007","6037.95","6039.95","5740.60","5777.00"
"NIFTY 50","14 Dec 2007","6056.20","6078.55","6015.05","6047.70"
"NIFTY 50","13 Dec 2007","6159.25","6185.40","6040.40","6058.10"
"NIFTY 50","12 Dec 2007","6067.05","6175.65","6005.45","6159.30"
"NIFTY 50","11 Dec 2007","5960.40","6111.20","5960.40","6097.25"
"NIFTY 50","10 Dec 2007","5974.00","6015.30","5923.35","5960.60"
"NIFTY 50","07 Dec 2007","5963.60","6042.10","5894.80","5974.30"
"NIFTY 50","06 Dec 2007","5941.05","6027.05","5919.80","5954.70"
"NIFTY 50","05 Dec 2007","5861.90","5949.30","5859.95","5940.00"
"NIFTY 50","04 Dec 2007","5870.20","5897.25","5840.30","5858.35"
"NIFTY 50","03 Dec 2007","5765.45","5878.80","5754.60","5865.00"
"NIFTY 50","30 Nov 2007","5633.90","5782.55","5632.65","5762.75"
"NIFTY 50","29 Nov 2007","5617.80","5725.00","5612.10","5634.60"
"NIFTY 50","28 Nov 2007","5699.55","5749.95","5595.50","5617.55"
"NIFTY 50","27 Nov 2007","5729.25","5743.55","5655.60","5698.15"
"NIFTY 50","26 Nov 2007","5611.30","5772.55","5608.95","5731.70"
"NIFTY 50","23 Nov 2007","5524.30","5638.60","5514.75","5608.60"
"NIFTY 50","22 Nov 2007","5564.65","5608.65","5394.35","5519.35"
"NIFTY 50","21 Nov 2007","5778.80","5790.05","5530.85","5561.05"
"NIFTY 50","20 Nov 2007","5911.25","5923.70","5755.80","5780.90"
"NIFTY 50","19 Nov 2007","5908.05","5981.80","5893.80","5907.65"
"NIFTY 50","16 Nov 2007","5913.15","5948.05","5817.40","5906.85"
"NIFTY 50","15 Nov 2007","5942.70","5966.95","5895.65","5912.10"
"NIFTY 50","14 Nov 2007","5703.95","5950.20","5700.05","5937.90"
"NIFTY 50","13 Nov 2007","5612.35","5758.85","5591.60","5695.40"
"NIFTY 50","12 Nov 2007","5660.60","5660.60","5477.50","5617.10"
"NIFTY 50","09 Nov 2007","5703.45","5794.20","5614.90","5663.25"
"NIFTY 50","08 Nov 2007","5779.30","5780.80","5646.75","5698.75"
"NIFTY 50","07 Nov 2007","5782.40","5861.35","5744.30","5782.35"
"NIFTY 50","06 Nov 2007","5847.10","5957.20","5759.95","5786.50"
"NIFTY 50","05 Nov 2007","5931.90","5948.55","5819.60","5847.30"
"NIFTY 50","02 Nov 2007","5854.85","5944.75","5714.25","5932.40"
"NIFTY 50","01 Nov 2007","5903.80","6011.95","5837.20","5866.45"
"NIFTY 50","31 Oct 2007","5868.90","5952.25","5861.30","5900.65"
"NIFTY 50","30 Oct 2007","5917.55","5976.00","5833.90","5868.75"
"NIFTY 50","29 Oct 2007","5708.90","5922.50","5708.90","5905.90"
"NIFTY 50","26 Oct 2007","5564.25","5716.90","5513.35","5702.30"
"NIFTY 50","25 Oct 2007","5499.05","5605.95","5469.30","5568.95"
"NIFTY 50","24 Oct 2007","5477.60","5577.90","5419.40","5496.15"
"NIFTY 50","23 Oct 2007","5185.30","5488.50","5176.85","5473.70"
"NIFTY 50","22 Oct 2007","5202.75","5247.40","5070.90","5184.00"
"NIFTY 50","19 Oct 2007","5360.35","5390.85","5101.75","5215.30"
"NIFTY 50","18 Oct 2007","5551.10","5736.80","5269.65","5351.00"
"NIFTY 50","17 Oct 2007","5658.90","5658.90","5107.30","5559.30"
"NIFTY 50","16 Oct 2007","5670.65","5708.35","5578.45","5668.05"
"NIFTY 50","15 Oct 2007","5428.35","5682.65","5419.90","5670.40"
"NIFTY 50","12 Oct 2007","5525.30","5549.30","5402.60","5428.25"
"NIFTY 50","11 Oct 2007","5438.90","5532.75","5424.25","5524.85"
"NIFTY 50","10 Oct 2007","5328.15","5454.70","5328.15","5441.45"
"NIFTY 50","09 Oct 2007","5062.65","5348.70","5000.95","5327.25"
"NIFTY 50","08 Oct 2007","5186.25","5249.30","5024.75","5085.10"
"NIFTY 50","05 Oct 2007","5208.15","5248.55","5164.50","5185.85"
"NIFTY 50","04 Oct 2007","5211.65","5233.10","5126.05","5208.65"
"NIFTY 50","03 Oct 2007","5069.00","5261.35","5034.15","5210.80"
"NIFTY 50","01 Oct 2007","5021.50","5089.30","5001.35","5068.95"
"NIFTY 50","28 Sep 2007","4996.45","5055.80","4996.45","5021.35"
"NIFTY 50","27 Sep 2007","4942.70","5016.40","4942.70","5000.55"
"NIFTY 50","26 Sep 2007","4937.60","4980.85","4930.35","4940.50"
"NIFTY 50","25 Sep 2007","4939.10","4953.90","4878.15","4938.85"
