"Index Name","Date","Open","High","Low","Close"
"NIFTY 50","31 Dec 2001","1033.90","1062.30","1033.90","1059.05"
"NIFTY 50","28 Dec 2001","1019.90","1036.35","1010.45","1033.80"
"NIFTY 50","27 Dec 2001","1033.85","1037.70","1017.35","1020.00"
"NIFTY 50","26 Dec 2001","1048.90","1058.30","1030.50","1034.25"
"NIFTY 50","24 Dec 2001","1051.00","1055.00","1032.60","1048.50"
"NIFTY 50","21 Dec 2001","1061.80","1061.80","1043.65","1050.85"
"NIFTY 50","20 Dec 2001","1060.45","1064.80","1047.50","1062.00"
"NIFTY 50","19 Dec 2001","1082.50","1086.35","1057.10","1060.75"
"NIFTY 50","18 Dec 2001","1089.90","1098.00","1071.35","1082.30"
"NIFTY 50","14 Dec 2001","1098.65","1102.90","1082.75","1087.85"
"NIFTY 50","13 Dec 2001","1107.75","1114.15","1069.95","1098.75"
"NIFTY 50","12 Dec 2001","1110.65","1121.55","1104.75","1107.65"
"NIFTY 50","11 Dec 2001","1112.15","1122.85","1107.70","1110.20"
"NIFTY 50","10 Dec 2001","1112.15","1123.55","1112.15","1115.25"
"NIFTY 50","07 Dec 2001","1110.90","1122.65","1109.65","1112.30"
"NIFTY 50","06 Dec 2001","1105.10","1132.65","1105.10","1110.45"
"NIFTY 50","05 Dec 2001","1077.95","1107.15","1077.95","1104.55"
"NIFTY 50","04 Dec 2001","1066.05","1082.60","1065.65","1077.70"
"NIFTY 50","03 Dec 2001","1067.20","1074.50","1063.25","1065.40"
"NIFTY 50","29 Nov 2001","1070.30","1071.00","1063.00","1067.15"
"NIFTY 50","28 Nov 2001","1076.15","1082.30","1067.65","1070.80"
"NIFTY 50","27 Nov 2001","1087.60","1097.60","1071.05","1076.05"
"NIFTY 50","26 Nov 2001","1059.25","1084.65","1059.25","1080.60"
"NIFTY 50","23 Nov 2001","1063.05","1075.05","1057.30","1059.00"
"NIFTY 50","22 Nov 2001","1056.45","1075.90","1056.45","1062.45"
"NIFTY 50","21 Nov 2001","1050.40","1064.85","1046.30","1056.35"
"NIFTY 50","20 Nov 2001","1067.30","1082.40","1046.15","1050.20"
"NIFTY 50","19 Nov 2001","1034.20","1072.00","1032.85","1068.15"
"NIFTY 50","15 Nov 2001","1016.05","1038.35","1015.15","1035.70"
"NIFTY 50","14 Nov 2001","1005.45","1017.20","1004.70","1015.80"
"NIFTY 50","13 Nov 2001","1010.95","1013.25","999.85","1005.40"
"NIFTY 50","12 Nov 2001","1004.55","1014.25","1003.60","1010.90"
"NIFTY 50","09 Nov 2001","999.10","1008.95","999.10","1004.05"
"NIFTY 50","08 Nov 2001","987.50","1001.15","985.75","997.70"
"NIFTY 50","07 Nov 2001","1001.95","1014.10","984.45","987.50"
"NIFTY 50","06 Nov 2001","991.20","1007.40","991.15","1001.90"
"NIFTY 50","05 Nov 2001","997.25","1001.30","987.85","991.05"
"NIFTY 50","02 Nov 2001","994.25","1009.55","991.95","997.60"
"NIFTY 50","01 Nov 2001","973.55","997.30","973.55","994.00"
"NIFTY 50","31 Oct 2001","962.85","976.40","959.35","971.90"
"NIFTY 50","30 Oct 2001","977.35","977.35","960.50","963.10"
"NIFTY 50","29 Oct 2001","983.15","996.60","974.05","977.45"
"NIFTY 50","25 Oct 2001","991.25","998.00","979.95","983.20"
"NIFTY 50","24 Oct 2001","992.95","1000.95","987.40","991.20"
"NIFTY 50","23 Oct 2001","976.75","994.15","976.55","993.20"
"NIFTY 50","22 Oct 2001","980.05","994.15","973.20","976.40"
"NIFTY 50","19 Oct 2001","972.20","981.00","970.85","976.65"
"NIFTY 50","18 Oct 2001","984.20","984.50","969.35","972.05"
"NIFTY 50","17 Oct 2001","971.95","989.05","971.95","986.25"
"NIFTY 50","16 Oct 2001","963.40","973.25","962.50","971.25"
"NIFTY 50","15 Oct 2001","963.65","966.15","954.35","963.40"
"NIFTY 50","12 Oct 2001","958.40","969.90","956.85","960.40"
"NIFTY 50","11 Oct 2001","940.45","959.75","940.45","954.90"
"NIFTY 50","10 Oct 2001","915.50","942.80","912.90","940.35"
"NIFTY 50","09 Oct 2001","903.00","914.30","902.55","912.70"
"NIFTY 50","08 Oct 2001","911.20","913.05","884.65","901.95"
"NIFTY 50","05 Oct 2001","911.60","919.75","903.05","914.60"
"NIFTY 50","04 Oct 2001","899.65","914.25","899.65","911.65"
"NIFTY 50","03 Oct 2001","910.05","915.05","896.25","899.65"
"NIFTY 50","01 Oct 2001","914.65","919.20","905.50","910.10"
"NIFTY 50","28 Sep 2001","891.75","922.55","891.00","913.85"
"NIFTY 50","27 Sep 2001","873.15","893.05","868.30","890.00"
"NIFTY 50","26 Sep 2001","861.35","877.00","859.20","873.70"
"NIFTY 50","25 Sep 2001","869.15","893.35","858.85","861.40"
"NIFTY 50","24 Sep 2001","853.00","878.60","853.00","869.05"
"NIFTY 50","21 Sep 2001","903.75","903.75","849.95","854.20"
"NIFTY 50","20 Sep 2001","910.20","910.35","873.70","898.80"
"NIFTY 50","19 Sep 2001","899.70","915.00","899.70","912.20"
"NIFTY 50","18 Sep 2001","872.15","910.35","868.50","900.20"
"NIFTY 50","17 Sep 2001","916.15","916.15","861.05","872.25"
"NIFTY 50","14 Sep 2001","972.05","974.50","902.70","919.70"
"NIFTY 50","13 Sep 2001","982.20","993.05","969.00","971.70"
"NIFTY 50","12 Sep 2001","1023.25","1023.25","957.95","982.20"
"NIFTY 50","11 Sep 2001","1033.35","1037.45","1020.70","1023.40"
"NIFTY 50","10 Sep 2001","1035.00","1045.30","1031.45","1033.40"
"NIFTY 50","07 Sep 2001","1036.35","1037.35","1026.45","1035.20"
"NIFTY 50","06 Sep 2001","1047.70","1048.20","1033.40","1036.10"
"NIFTY 50","05 Sep 2001","1047.25","1051.55","1043.30","1045.00"
"NIFTY 50","04 Sep 2001","1048.20","1053.25","1043.30","1048.20"
"NIFTY 50","03 Sep 2001","1054.65","1059.90","1046.35","1048.05"
"NIFTY 50","31 Aug 2001","1064.10","1064.10","1051.75","1053.75"
"NIFTY 50","30 Aug 2001","1068.30","1070.25","1061.90","1064.15"
"NIFTY 50","29 Aug 2001","1070.55","1074.50","1066.45","1067.45"
"NIFTY 50","28 Aug 2001","1072.35","1076.85","1069.60","1070.65"
"NIFTY 50","27 Aug 2001","1064.05","1078.35","1064.05","1072.55"
"NIFTY 50","24 Aug 2001","1071.50","1076.70","1064.90","1069.15"
"NIFTY 50","23 Aug 2001","1068.70","1079.00","1065.70","1071.50"
"NIFTY 50","21 Aug 2001","1063.65","1071.20","1062.30","1068.70"
"NIFTY 50","20 Aug 2001","1062.50","1067.95","1061.00","1063.75"
"NIFTY 50","17 Aug 2001","1079.00","1084.00","1067.60","1069.20"
"NIFTY 50","16 Aug 2001","1075.20","1083.70","1072.95","1078.95"
"NIFTY 50","14 Aug 2001","1063.05","1076.60","1062.20","1075.50"
"NIFTY 50","13 Aug 2001","1070.95","1081.40","1061.05","1063.00"
"NIFTY 50","10 Aug 2001","1070.65","1076.70","1069.05","1071.15"
"NIFTY 50","09 Aug 2001","1068.10","1072.60","1061.40","1070.65"
"NIFTY 50","08 Aug 2001","1071.75","1072.10","1059.55","1068.00"
"NIFTY 50","07 Aug 2001","1074.35","1079.30","1070.20","1072.10"
"NIFTY 50","06 Aug 2001","1074.20","1082.40","1072.55","1075.25"
"NIFTY 50","03 Aug 2001","1066.40","1077.55","1066.20","1074.60"
"NIFTY 50","02 Aug 2001","1064.25","1070.05","1059.55","1066.00"
"NIFTY 50","01 Aug 2001","1073.00","1077.70","1059.75","1063.15"
"NIFTY 50","31 Jul 2001","1061.45","1076.35","1053.60","1072.85"
"NIFTY 50","30 Jul 2001","1051.45","1062.80","1050.90","1061.45"
"NIFTY 50","27 Jul 2001","1053.20","1061.20","1046.90","1051.70"
"NIFTY 50","26 Jul 2001","1063.90","1066.55","1050.15","1053.40"
"NIFTY 50","25 Jul 2001","1072.45","1073.95","1062.15","1064.20"
"NIFTY 50","24 Jul 2001","1065.95","1074.75","1064.50","1072.55"
"NIFTY 50","23 Jul 2001","1076.15","1076.15","1063.40","1070.65"
"NIFTY 50","20 Jul 2001","1085.95","1089.95","1072.75","1077.70"
"NIFTY 50","19 Jul 2001","1091.35","1091.35","1079.55","1085.90"
"NIFTY 50","18 Jul 2001","1103.10","1108.45","1088.10","1091.95"
"NIFTY 50","17 Jul 2001","1103.55","1106.05","1092.50","1103.10"
"NIFTY 50","16 Jul 2001","1110.35","1116.70","1102.45","1105.55"
"NIFTY 50","13 Jul 2001","1105.70","1127.15","1103.30","1110.45"
"NIFTY 50","12 Jul 2001","1083.80","1109.00","1083.80","1105.50"
"NIFTY 50","11 Jul 2001","1072.15","1088.50","1068.35","1083.65"
"NIFTY 50","10 Jul 2001","1059.95","1078.10","1059.25","1072.05"
"NIFTY 50","09 Jul 2001","1064.80","1064.80","1052.10","1059.50"
"NIFTY 50","06 Jul 2001","1069.15","1069.15","1059.60","1065.10"
"NIFTY 50","05 Jul 2001","1068.35","1079.35","1066.95","1069.75"
"NIFTY 50","04 Jul 2001","1068.05","1074.60","1062.20","1067.95"
"NIFTY 50","03 Jul 2001","1097.40","1097.40","1066.05","1069.80"
"NIFTY 50","02 Jul 2001","1108.35","1119.55","1097.95","1100.75"
"NIFTY 50","29 Jun 2001","1094.05","1114.35","1091.05","1107.90"
"NIFTY 50","28 Jun 2001","1095.85","1101.00","1090.20","1094.00"
"NIFTY 50","27 Jun 2001","1096.60","1102.80","1086.75","1096.10"
"NIFTY 50","26 Jun 2001","1066.40","1099.80","1060.05","1096.60"
"NIFTY 50","25 Jun 2001","1087.10","1087.10","1064.40","1067.00"
"NIFTY 50","22 Jun 2001","1095.85","1097.80","1081.30","1087.65"
"NIFTY 50","21 Jun 2001","1097.90","1102.45","1090.25","1095.20"
"NIFTY 50","20 Jun 2001","1096.35","1100.55","1084.70","1097.60"
"NIFTY 50","19 Jun 2001","1078.25","1099.70","1075.45","1096.65"
"NIFTY 50","18 Jun 2001","1087.75","1087.75","1064.40","1078.30"
"NIFTY 50","15 Jun 2001","1112.70","1112.70","1084.20","1087.75"
"NIFTY 50","14 Jun 2001","1128.95","1128.95","1110.15","1112.75"
"NIFTY 50","13 Jun 2001","1127.10","1132.95","1126.90","1129.00"
"NIFTY 50","12 Jun 2001","1131.05","1133.30","1121.80","1127.15"
"NIFTY 50","11 Jun 2001","1126.55","1134.80","1122.35","1131.10"
"NIFTY 50","08 Jun 2001","1112.45","1128.90","1112.45","1126.60"
"NIFTY 50","07 Jun 2001","1115.05","1116.10","1095.45","1112.35"
"NIFTY 50","06 Jun 2001","1117.50","1132.95","1114.00","1115.70"
"NIFTY 50","05 Jun 2001","1127.15","1130.65","1106.80","1115.60"
"NIFTY 50","04 Jun 2001","1148.00","1154.45","1125.35","1127.20"
"NIFTY 50","01 Jun 2001","1168.10","1175.80","1146.90","1148.05"
"NIFTY 50","31 May 2001","1177.50","1177.50","1154.90","1167.90"
"NIFTY 50","30 May 2001","1199.50","1207.00","1173.75","1177.55"
"NIFTY 50","29 May 2001","1193.25","1202.05","1193.25","1198.45"
"NIFTY 50","28 May 2001","1174.95","1194.50","1174.45","1193.20"
"NIFTY 50","25 May 2001","1181.95","1188.50","1171.35","1174.90"
"NIFTY 50","24 May 2001","1179.10","1190.15","1177.55","1181.85"
"NIFTY 50","23 May 2001","1168.25","1181.80","1167.00","1179.10"
