"Index Name","Date","Open","High","Low","Close"
"NIFTY 50","29 Dec 2000","1249.00","1265.90","1242.25","1263.55"
"NIFTY 50","28 Dec 2000","1229.35","1253.60","1229.35","1248.95"
"NIFTY 50","27 Dec 2000","1212.15","1239.00","1208.75","1228.30"
"NIFTY 50","26 Dec 2000","1242.05","1248.50","1207.95","1212.00"
"NIFTY 50","22 Dec 2000","1278.95","1292.80","1237.30","1242.00"
"NIFTY 50","21 Dec 2000","1294.25","1294.25","1257.10","1277.40"
"NIFTY 50","20 Dec 2000","1312.80","1313.40","1285.45","1295.25"
"NIFTY 50","19 Dec 2000","1317.75","1325.60","1307.00","1310.50"
"NIFTY 50","18 Dec 2000","1310.15","1321.65","1297.20","1317.60"
"NIFTY 50","15 Dec 2000","1349.25","1349.25","1308.15","1312.60"
"NIFTY 50","14 Dec 2000","1354.45","1369.50","1346.15","1349.35"
"NIFTY 50","13 Dec 2000","1333.80","1360.80","1333.80","1354.30"
"NIFTY 50","12 Dec 2000","1332.20","1341.75","1327.60","1333.35"
"NIFTY 50","11 Dec 2000","1313.70","1333.50","1313.70","1332.15"
"NIFTY 50","08 Dec 2000","1303.30","1317.20","1303.30","1313.70"
"NIFTY 50","07 Dec 2000","1298.90","1308.45","1295.10","1302.50"
"NIFTY 50","06 Dec 2000","1284.85","1319.85","1284.85","1298.55"
"NIFTY 50","05 Dec 2000","1275.70","1288.20","1275.50","1284.65"
"NIFTY 50","04 Dec 2000","1276.25","1290.00","1273.65","1275.60"
"NIFTY 50","01 Dec 2000","1268.10","1280.50","1255.20","1276.20"
"NIFTY 50","30 Nov 2000","1264.75","1272.10","1258.40","1268.15"
"NIFTY 50","29 Nov 2000","1272.25","1281.00","1253.45","1264.75"
"NIFTY 50","28 Nov 2000","1252.90","1275.45","1248.90","1272.75"
"NIFTY 50","27 Nov 2000","1225.40","1254.45","1225.35","1252.90"
"NIFTY 50","24 Nov 2000","1216.05","1230.00","1216.05","1225.20"
"NIFTY 50","23 Nov 2000","1221.20","1223.05","1209.85","1216.00"
"NIFTY 50","22 Nov 2000","1235.85","1247.50","1220.05","1222.35"
