"Index Name","Date","Open","High","Low","Close"
"NIFTY 50","31 Dec 2015","7897.80","7955.55","7891.15","7946.35"
"NIFTY 50","30 Dec 2015","7938.60","7944.75","7889.85","7896.25"
"NIFTY 50","29 Dec 2015","7929.20","7942.15","7902.75","7928.95"
"NIFTY 50","28 Dec 2015","7863.20","7937.20","7863.00","7925.15"
"NIFTY 50","24 Dec 2015","7888.75","7888.75","7835.50","7861.05"
"NIFTY 50","23 Dec 2015","7830.45","7871.45","7826.10","7865.95"
"NIFTY 50","22 Dec 2015","7829.40","7846.30","7776.85","7786.10"
"NIFTY 50","21 Dec 2015","7745.65","7840.75","7733.45","7834.45"
"NIFTY 50","18 Dec 2015","7828.90","7836.15","7753.35","7761.95"
"NIFTY 50","17 Dec 2015","7783.05","7852.90","7737.55","7844.35"
"NIFTY 50","16 Dec 2015","7725.25","7776.60","7715.75","7750.90"
"NIFTY 50","15 Dec 2015","7659.15","7705.00","7625.10","7700.90"
"NIFTY 50","14 Dec 2015","7558.20","7663.95","7551.05","7650.05"
"NIFTY 50","11 Dec 2015","7699.60","7703.05","7575.30","7610.45"
"NIFTY 50","10 Dec 2015","7643.30","7691.95","7610.00","7683.30"
"NIFTY 50","09 Dec 2015","7695.50","7702.85","7606.90","7612.50"
"NIFTY 50","08 Dec 2015","7738.50","7771.25","7685.45","7701.70"
"NIFTY 50","07 Dec 2015","7816.55","7825.40","7746.05","7765.40"
"NIFTY 50","04 Dec 2015","7817.60","7821.40","7775.70","7781.90"
"NIFTY 50","03 Dec 2015","7902.30","7912.30","7853.30","7864.15"
"NIFTY 50","02 Dec 2015","7976.70","7979.30","7910.80","7931.35"
"NIFTY 50","01 Dec 2015","7958.15","7972.15","7934.15","7954.90"
"NIFTY 50","30 Nov 2015","7936.25","7966.00","7922.80","7935.25"
"NIFTY 50","27 Nov 2015","7910.60","7959.30","7879.45","7942.70"
"NIFTY 50","26 Nov 2015","7837.15","7897.10","7832.00","7883.80"
"NIFTY 50","24 Nov 2015","7837.00","7870.35","7812.65","7831.60"
"NIFTY 50","23 Nov 2015","7869.50","7877.50","7825.20","7849.25"
"NIFTY 50","20 Nov 2015","7841.90","7906.95","7817.80","7856.55"
"NIFTY 50","19 Nov 2015","7788.50","7854.90","7765.45","7842.75"
"NIFTY 50","18 Nov 2015","7823.15","7843.40","7725.05","7731.80"
"NIFTY 50","17 Nov 2015","7848.75","7860.45","7793.00","7837.55"
"NIFTY 50","16 Nov 2015","7732.95","7838.85","7714.15","7806.60"
"NIFTY 50","13 Nov 2015","7762.45","7775.10","7730.90","7762.25"
"NIFTY 50","11 Nov 2015","7838.80","7847.95","7819.10","7825.00"
"NIFTY 50","10 Nov 2015","7877.60","7885.10","7772.85","7783.35"
"NIFTY 50","09 Nov 2015","7788.25","7937.75","7771.70","7915.20"
"NIFTY 50","06 Nov 2015","7956.55","8002.65","7926.15","7954.30"
"NIFTY 50","05 Nov 2015","8030.35","8031.20","7944.10","7955.45"
"NIFTY 50","04 Nov 2015","8104.90","8116.10","8027.30","8040.20"
"NIFTY 50","03 Nov 2015","8086.35","8100.35","8031.75","8060.70"
"NIFTY 50","02 Nov 2015","8054.55","8060.70","7995.60","8050.80"
