"Index Name","Date","Open","High","Low","Close"
"NIFTY 50","30 Dec 2016","8119.65","8197.00","8114.75","8185.80"
"NIFTY 50","29 Dec 2016","8030.60","8111.10","8020.80","8103.60"
"NIFTY 50","28 Dec 2016","8047.55","8100.55","8028.40","8034.85"
"NIFTY 50","27 Dec 2016","7915.05","8044.65","7903.70","8032.85"
"NIFTY 50","26 Dec 2016","7965.10","7970.05","7893.80","7908.25"
"NIFTY 50","23 Dec 2016","7972.50","8022.60","7942.05","7985.75"
"NIFTY 50","22 Dec 2016","8043.85","8046.45","7964.95","7979.10"
"NIFTY 50","21 Dec 2016","8105.85","8112.55","8053.25","8061.30"
"NIFTY 50","20 Dec 2016","8110.60","8124.10","8062.75","8082.40"
"NIFTY 50","19 Dec 2016","8126.00","8132.50","8094.85","8104.35"
"NIFTY 50","16 Dec 2016","8178.20","8178.70","8127.45","8139.45"
"NIFTY 50","15 Dec 2016","8128.40","8225.90","8121.95","8153.60"
"NIFTY 50","14 Dec 2016","8229.35","8229.40","8165.10","8182.45"
"NIFTY 50","13 Dec 2016","8196.15","8228.85","8155.80","8221.80"
"NIFTY 50","12 Dec 2016","8230.65","8230.65","8154.45","8170.80"
"NIFTY 50","09 Dec 2016","8271.70","8274.95","8241.95","8261.75"
"NIFTY 50","08 Dec 2016","8152.10","8256.25","8151.75","8246.85"
"NIFTY 50","07 Dec 2016","8168.40","8190.45","8077.50","8102.05"
"NIFTY 50","06 Dec 2016","8153.15","8178.70","8130.85","8143.15"
"NIFTY 50","05 Dec 2016","8088.75","8141.90","8056.85","8128.75"
"NIFTY 50","02 Dec 2016","8153.55","8159.30","8070.05","8086.80"
"NIFTY 50","01 Dec 2016","8244.00","8250.80","8185.05","8192.90"
"NIFTY 50","30 Nov 2016","8172.15","8234.25","8139.25","8224.50"
"NIFTY 50","29 Nov 2016","8131.55","8197.35","8128.70","8142.15"
"NIFTY 50","28 Nov 2016","8080.65","8146.50","8066.50","8126.90"
"NIFTY 50","25 Nov 2016","8007.95","8122.25","7976.75","8114.30"
"NIFTY 50","24 Nov 2016","8011.80","8024.85","7952.55","7965.50"
"NIFTY 50","23 Nov 2016","8051.20","8055.20","7973.10","8033.30"
"NIFTY 50","22 Nov 2016","7989.15","8019.05","7938.15","8002.30"
"NIFTY 50","21 Nov 2016","8102.10","8102.45","7916.40","7929.10"
"NIFTY 50","18 Nov 2016","8097.55","8128.95","8048.30","8074.10"
"NIFTY 50","17 Nov 2016","8105.10","8151.25","8060.30","8079.95"
"NIFTY 50","16 Nov 2016","8205.65","8210.05","8089.40","8111.60"
"NIFTY 50","15 Nov 2016","8284.85","8288.55","8093.20","8108.45"
"NIFTY 50","11 Nov 2016","8456.65","8460.60","8284.95","8296.30"
"NIFTY 50","10 Nov 2016","8555.60","8598.45","8510.70","8525.75"
"NIFTY 50","09 Nov 2016","8067.50","8476.20","8002.25","8432.00"
"NIFTY 50","08 Nov 2016","8540.00","8559.40","8480.10","8543.55"
"NIFTY 50","07 Nov 2016","8535.75","8535.85","8481.45","8497.05"
"NIFTY 50","04 Nov 2016","8503.60","8504.00","8400.25","8433.75"
